nct_id,name,city,country
NCT05518162,University of Rochester Medical Center,Rochester,United States
NCT04427410,Cukurova University,Adana,Turkey
NCT03949465,University of Calgary,Calgary,Canada
NCT02235064,Cooper University Hospital,Camden,United States
NCT05826327,"Women's hospital, school of medicine, Zhejiang university",Hangzhou,China
NCT04167709,Lund University,Lund,Sweden
NCT06014892,Massachusetts General Hospital,Boston,United States
NCT06014892,Beth Israel Deaconess Medical Center,Boston,United States
NCT06014892,Boston Children's Hospital,Boston,United States
NCT06014892,Brigham and Women's Hospital,Boston,United States
NCT04285437,University of Medicine and Pharmacy,Ho Chi Minh City,Vietnam
NCT01452321,"Department and Institute of Psychiatry, General Hospital, University of Sao Paulo medical school",São Paulo,Brazil
NCT01762943,University of North Carolina at Chapel Hill,Chapel Hill,United States
NCT04617132,"Reproductive Mental Health Program, BC Children's Hospital",Vancouver,Canada
NCT05873569,Johns Hopkins University School of Medicine,Baltimore,United States
NCT00277108,University of Rochester,Rochester,United States
NCT00633178,Columbia University Medical Center,New York,United States
NCT06049433,University of Utah,Salt Lake City,United States
NCT04913584,Kids Can Fly,Brantford,Canada
NCT04998721,Amritha Bhat,Seattle,United States
NCT02741206,New York University School of Medicine,New York,United States
NCT03221556,Boston Medical Center,Boston,United States
NCT02538497,UiT The Arctic University of Norway,Tromso,Norway
NCT04485000,McMaster University,Hamilton,Canada
NCT06310720,Alexandra Cohen Hospital for Women and Newborns,New York,United States
NCT04745494,University College London,London,United Kingdom
NCT05806463,Health centers/clusters in selected woredas,West Gojjam,Ethiopia
NCT00392847,Bichat-Claude Bernard Hospital,Paris,France
NCT04183582,Centre for Early Child Development,Blackpool,United Kingdom
NCT06301087,ILC,Le Mans,France
NCT02387424,University of Colorado Boulder,Boulder,United States
NCT02391870,University of Colorado Boulder,Boulder,United States
NCT02391870,Kaiser Permanente Colorado,Denver,United States
NCT02391870,Emory University,Atlanta,United States
NCT02391870,Kaiser Permanente,Atlanta,United States
NCT00276900,Women's Behavioral HealthCare Program,Pittsburgh,United States
NCT02387424,Kaiser Permanente Colorado,Denver,United States
NCT02387424,Emory University,Atlanta,United States
NCT02370576,Rambam Medical Center,Haifa,Israel
NCT02387424,Kaiser Permanente,Atlanta,United States
NCT00056901,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Bethesda,United States
NCT01909167,Queen Charlotte's and Chelsea Hospital,London,United Kingdom
NCT00051246,University of Wisconsin Dept. of Psychiatry,Madison,United States
NCT05077644,HITLAB,New York,United States
NCT02020148,Northwestern Memorial Hospital,Chicago,United States
NCT02121015,University of Illinois at Chicago,Chicago,United States
NCT02121015,Northwestern University,Chicago,United States
NCT02121015,University of Iowa,Iowa City,United States
NCT02133963,UNC Chapel Hill,Chapel Hill,United States
NCT00043602,University of Iowa,Iowa City,United States
NCT03027037,University of Colorado Boulder,Boulder,United States
NCT05543746,University of North Carolina,Chapel Hill,United States
NCT00183547,Johns Hopkins Center for American Indian Health,Whiteriver,United States
NCT04487171,CHU Amiens,Amiens,France
NCT00053651,Women and Infants Hospital,Providence,United States
NCT00183547,Johns Hopkins Center for American Indian Health,Baltimore,United States
NCT06042166,Montefiore Medical Center,Bronx,United States
